Продукт,Калорийность,Углеводы,Белки,Жиры
"Говядина отборной категории, часть спины с ребер, тонкий край (ребра 10-12),  мясо постное, жареное",205 кКал,0 г,"28,88 г","9,01 г"
"Говядина отборной категории, часть спины с ребер, тонкий край (ребра 10-12), мясо постное, сырое",161 кКал,0 г,"20,13 г","8,3 г"
"Говядина отварная в собственном соку, консервы",214 кКал,0 г,"15,4 г","16,9 г"
"Говядина отварная, по 1-392",254 кКал,0 г,"25,8 г","16,8 г"
"Говядина сортовая категорий, огузок, мясо с жиром убранным до уровня 0"", обжаренная",181 кКал,0 г,"26,57 г","7,53 г"
"Говядина сортовая,  t-bone стейк,  мясо с жиром убранным до уровня 1/8"", жареная",281 кКал,0 г,"25,18 г","19,22 г"
"Говядина сортовая,  t-bone стейк,  мясо с жиром убранным до уровня 1/8"", сырая",215 кКал,0 г,"20,28 г","14,19 г"
"Говядина сортовая,  t-bone стейк,  постное мясо, жареная",177 кКал,0 г,26 г,"7,36 г"
"Говядина сортовая,  t-bone стейк, мясо с жиром убранным до уровня 0"", жареная",230 кКал,0 г,"24,38 г",14 г
"Говядина сортовая,  мякоть нижней части бедра, мясо с жиром убранным до уровня1/8"", сырая",187 кКал,0 г,"20,68 г","10,93 г"
"Говядина сортовая,  мякоть нижней части бедра, мясо с жиром убранным до уровня1/8"", сырая обжпренная",212 кКал,0 г,"26,77 г","10,85 г"
"Говядина сортовая,  мякоть нижней части бедра, мясо с жиром убранным до уровня1/8"", тушеная",240 кКал,0 г,"32,67 г","11,19 г"
"Говядина сортовая,  мякоть нижней части бедра, постоное мясо, обжаренная",164 кКал,0 г,"28,45 г","4,67 г"
"Говядина сортовая,  мякоть нижней части бедра, постоное мясо, тушеная",205 кКал,0 г,"34,46 г","6,43 г"
"Говядина сортовая,  оковалок, постное мясо, сырая",127 кКал,0 г,"22,27 г","3,54 г"
"Говядина сортовая, бочок,  мясо с жиром убранным до уровня 0"", сырая",145 кКал,0 г,"21,22 г","6,06 г"
"Говядина сортовая, бочок, мясо с жиром убранным до уровня 0"", жаренная",183 кКал,0 г,"27,78 г","7,15 г"
"Говядина сортовая, бочок, постное мясо, жареная",178 кКал,0 г,"27,96 г","6,48 г"
"Говядина сортовая, бочок, постное мясо, сырая",137 кКал,0 г,"21,43 г",5 г
"Говядина сортовая, верхняя часть кострца, стейк, мясо с жиром убранным до уровня 0"", обжаренная на гриле",160 кКал,0 г,"29,24 г","3,91 г"
"Говядина сортовая, верхняя часть кострца, стейк, мясо с жиром убранным до уровня 0"", сырая",123 кКал,0 г,"21,96 г","3,24 г"
"Говядина сортовая, верхняя часть лопатки,  мясо с жиром убранным до уровня 0"", жаренная",184 кКал,0 г,"26,16 г",8 г
"Говядина сортовая, верхняя часть лопатки, мясо с жиром убранным до уровня 0"", жареная",200 кКал,0 г,"25,67 г","9,99 г"
"Говядина сортовая, верхняя часть лопатки, стейк,  мясо с жиром убранным до уровня 0"", обжаренная на гриле",212 кКал,0 г,"25,29 г","11,52 г"
"Говядина сортовая, верхняя часть лопатки, стейк,  мясо с жиром убранным до уровня 0"", сырая",166 кКал,0 г,"19,38 г","9,22 г"
"Говядина сортовая, вырезка, мясо с жиром убранным до уровня 0"", жареная",202 кКал,0 г,"30,93 г","7,7 г"
"Говядина сортовая, вырезка, мясо с жиром убранным до уровня 1/8"", жареная",262 кКал,0 г,"26,48 г","16,53 г"
"Говядина сортовая, вырезка, мясо с жиром убранным до уровня 1/8"", обжаренная",316 кКал,0 г,"23,9 г","23,7 г"
"Говядина сортовая, вырезка, мясо с жиром убранным до уровня 1/8"", сырая",249 кКал,0 г,"19,37 г","18,46 г"
