Продукт,Калорийность,Углеводы,Белки,Жиры
"Рис белый среднезерный, обогащенный, приготовленный",130 кКал,"28,29 г","2,38 г","0,21 г"
"Рис белый среднезерный, обогащенный, сухой",360 кКал,"77,94 г","6,61 г","0,58 г"
"Рис белый среднезерный, приготовленный",130 кКал,"28,59 г","2,38 г","0,21 г"
"Рис белый среднезерный, сухой",360 кКал,"79,34 г","6,61 г","0,58 г"
"Рис белый, крупа рисовая",333 кКал,74 г,7 г,1 г
"Рис дикий (черный, индейский рис, цициания), приготовленный",101 кКал,"19,54 г","3,99 г","0,34 г"
"Рис дикий (черный, индейский рис, цициания), сухой",357 кКал,"68,7 г","14,73 г","1,08 г"
"Рис желтый со специями, сухая смесь",343 кКал,"72,88 г","7,02 г","1,75 г"
"Рис коричневый (нешлифованный) длиннозерный, приготовленный",123 кКал,"23,98 г","2,74 г","0,97 г"
"Рис коричневый (нешлифованный) длиннозерный, сухой",367 кКал,"72,65 г","7,54 г","3,2 г"
"Рис коричневый (нешлифованный) среднезерный, приготовленный",112 кКал,"21,71 г","2,32 г","0,83 г"
"Рис коричневый (нешлифованный) среднезерный, сухой",362 кКал,"72,77 г","7,5 г","2,68 г"
"Рис коричневый (нешлифованный), пропаренный, приготовленный, UNCLE BENS",147 кКал,"29,63 г","3,09 г","0,85 г"
"Рис коричневый (нешлифованный), пропаренный. сухой, UNCLE BEN'S",370 кКал,"75,18 г","7,6 г","2,75 г"
"Рис крем, дроблёный рис быстрорастворимый, приготовленный на воде с солью",52 кКал,"11,4 г","0,9 г","0,1 г"
"Рис крем, дроблёный рис быстрорастворимый, сухой",370 кКал,"81,7 г","6,3 г","0,5 г"
"Рис, зерно цельное необработанное",303 кКал,"62,3 г","7,5 г","2,6 г"
Рисовая запеканка по 1-288,144 кКал,"19,4 г",4 г,"5,6 г"
Рисовая запеканка с творогом по 1-288,189 кКал,"26,1 г","5,1 г","7,1 г"
Рисовая каша по 1-268,144 кКал,"25,8 г","2,4 г","3,5 г"
"Рисовая лапша, приготовленная",108 кКал,"23,01 г","1,79 г","0,2 г"
"Рисовая лапша, сухая",364 кКал,"78,58 г","5,95 г","0,56 г"
Рисовая мука диетическая,356 кКал,"80,2 г","7,4 г","0,6 г"
"Рисовая мука, белая",366 кКал,"77,73 г","5,95 г","1,42 г"
"Рисовая мука, коричневая",363 кКал,"71,88 г","7,23 г","2,78 г"
"Рисовые отруби, сырые",316 кКал,"28,69 г","13,35 г","20,85 г"
Рожь молотая жареная,322 кКал,"68,7 г","7,9 г","1,7 г"
"Рожь, зерно",338 кКал,"60,76 г","10,34 г","1,63 г"
"Рожь, зерно цельное необработанное",283 кКал,"55,8 г","9,9 г","2,2 г"
Сорго,323 кКал,"59,6 г","10,6 г","4,12 г"
Сорго,329 кКал,"65,39 г","10,62 г","3,46 г"
"Спагетти со шпинатом, приготовленные",130 кКал,"26,15 г","4,58 г","0,63 г"
"Спагетти со шпинатом, сухие",372 кКал,"64,21 г","13,35 г","1,57 г"
"Спагетти, обогащенные протеином, приготовленные",164 кКал,"28,88 г","8,86 г","0,21 г"
"Спагетти, обогащенные протеином, сухие",374 кКал,"63,25 г","21,78 г","2,23 г"
"Сухой завтрак,  MALT-O-MEAL, обычный, сухой",361 кКал,"75,6 г","11,8 г","1,27 г"
"Сухой завтрак, CREAM OF WHEAT, обычный, приготовленный на воде, без соли",50 кКал,"10,52 г","1,44 г","0,21 г"
"Сухой завтрак, CREAM OF WHEAT, обычный, сухой",370 кКал,"76,5 г","10,5 г","1,5 г"
