Продукт,Калорийность,Углеводы,Белки,Жиры
Печенье Сдобное Овсяночка [Яшкино],450 кКал,64 г,6 г,19 г
Печенье Сдобное с Каплями [Яшкино],480 кКал,62 г,"5,7 г",23 г
Печенье Сдобное с Кусочками Глазури [Яшкино],480 кКал,60 г,"5,5 г",24 г
Печенье Сдобное с Цветным Драже [Яшкино],460 кКал,65 г,"5,5 г",20 г
Печенье Сдобное Шоколадное Курабье [Яшкино],520 кКал,56 г,"6,5 г",30 г
Печенье Сливочное [Яшкино],460 кКал,68 г,"7,5 г",17 г
Печенье Слоеное с Начинкой Чёрная Смородина [Яшкино],460 кКал,59 г,4 г,23 г
Печенье со Сливочным Вкусом [Яшкино],505 кКал,"64,7 г","6,9 г","24,4 г"
Печенье со Сливочным Кремом [Яшкино],500 кКал,65 г,6 г,24 г
Печенье-Сэндвич [Яшкино],500 кКал,65 г,7 г,24 г
Полечки с Кокосом [Яшкино],532 кКал,54 г,"9,5 г",31 г
Пряники [Яшкино],400 кКал,68 г,"3,5 г",13 г
Пряники в Сахарной Глазури [Яшкино],380 кКал,73 г,5 г,8 г
Пряники Классические [Яшкино],360 кКал,77 г,5 г,3 г
Пряники Мятные [Яшкино],360 кКал,77 г,5 г,3 г
Пряники с Абрикосовой Начинкой [Яшкино],390 кКал,"70,5 г","3,7 г","10,7 г"
Пряники с Варёной Сгущёнкой [Яшкино],420 кКал,69 г,4 г,14 г
Пряники с Вишнёвой Начинкой [Яшкино],400 кКал,69 г,4 г,12 г
Пряники Шоколадные [Яшкино],380 кКал,72 г,5 г,"7,5 г"
Пряники Шоколадные Воздушные [Яшкино],380 кКал,73 г,5 г,7 г
Пшеничная Мука [Яшкино],334 кКал,"70,6 г","10,3 г","1,1 г"
Пышечки в Белой Глазури [Яшкино],435 кКал,"53,5 г","6,2 г",22 г
Рулет Абрикосовый [Яшкино],387 кКал,"63,7 г","6,4 г",12 г
Рулет Бисквитный [Яшкино],370 кКал,58 г,5 г,13 г
Рулет Вишневый [Яшкино],386 кКал,"63,4 г","6,4 г",12 г
Рулет Клубничный со Сливками [Яшкино],377 кКал,"63,6 г","5,8 г","11,1 г"
Рулет с Вареной Сгущенкой [Яшкино],350 кКал,57 г,6 г,11 г
Рулет Черничный [Яшкино],370 кКал,58 г,5 г,13 г
Рулет Шоколадный [Яшкино],390 кКал,56 г,6 г,16 г
Суфле [Яшкино],359 кКал,"61,2 г","3,9 г","12,1 г"
Суфле Воздушное [Яшкино],370 кКал,60 г,4 г,12 г
Суфле Воздушное Belucci [Яшкино],440 кКал,60 г,"1,5 г",21 г
Суфле с Клубничным Конфитюром [Яшкино],278 кКал,"50,2 г","2,1 г","8,8 г"
Суфле с Черемухой [Яшкино],430 кКал,69 г,"3,5 г",16 г
Суфле со Сгущенным Молоком [Яшкино],430 кКал,69 г,"3,5 г",16 г
Тараллини с Сыром [Яшкино],570 кКал,64 г,11 г,30 г
Тёмный Шоколад [Яшкино],520 кКал,44 г,"6,5 г",35 г
Темный Шоколад с Начинкой Грейпфрут [Яшкино],420 кКал,57 г,3 г,20 г
Тёмный Шоколад с Начинкой Трюфель [Яшкино],520 кКал,45 г,"6,5 г",35 г
Темный Шоколад с Цельным Миндалем [Яшкино],540 кКал,39 г,"8,5 г",39 г
Торт с Вишневым Джемом и Шоколадным Кремом [Яшкино],420 кКал,50 г,6 г,19 г
Торт с Клубничным Джемом и Сливочным Кремом [Яшкино],400 кКал,50 г,"5,7 г",19 г
Трубочки Вафельные Лесной Орех [Яшкино],506 кКал,69 г,"7,8 г","21,4 г"
Трубочки Вафельные Ореховые [Яшкино],460 кКал,59 г,"5,5 г",22 г
Форсайт [Яшкино],490 кКал,59 г,"3,5 г",28 г
Французский Мини Крекер [Яшкино],470 кКал,60 г,8 г,22 г
Фруктовые Сердечки [Яшкино],290 кКал,71 г,"0,5 г",0 г
Фруктовый Поцелуй [Яшкино],310 кКал,76 г,2 г,0 г
Фурор [Яшкино],523 кКал,"65,6 г","5,3 г","26,9 г"
Халва Глазированная [Яшкино],528 кКал,44 г,"14,7 г",33 г
Халва Турецкая [Яшкино],490 кКал,43 г,13 г,30 г
Хрустящие Вафли с Варёной Сгущёнкой [Яшкино],530 кКал,64 г,"5,5 г",28 г
Хрустящие Вафли с Халвой [Яшкино],500 кКал,59 г,"7,5 г",26 г
Хрустящие Вафли Сливочные [Яшкино],530 кКал,63 г,5 г,29 г
Хрустящие Вафли Сливочные [Яшкино],530 кКал,63 г,5 г,29 г
Хрустящие Вафли со Вкусом Лимон-Лайм [Яшкино],540 кКал,62 г,"4,5 г",30 г
Хрустящие Вафли со Сливочным Вкусом [Яшкино],540 кКал,64 г,5 г,29 г
Чайное Глазированное Печенье [Яшкино],460 кКал,65 г,7 г,20 г
Чио Рио [Яшкино],515 кКал,"57,1 г",5 г,30 г
Чипсы Картофельные с Солью [Яшкино],510 кКал,50 г,6 г,32 г
Шантарель [Яшкино],420 кКал,76 г,"1,5 г",12 г
Швейцарский Бисквитный Рулет Вишневый [Яшкино],370 кКал,58 г,5 г,13 г
Швейцарский Бисквитный Рулет Клубника со Сливками [Яшкино],370 кКал,58 г,5 г,13 г
Швейцарский Бисквитный Рулет с Вареной Сгущенкой [Яшкино],350 кКал,57 г,5 г,11 г
Шоколад Горький 75% [Яшкино],560 кКал,27 г,"7,5 г",46 г
Шоколад Молочный с Фундуком и Изюмом [Яшкино],540 кКал,50 г,"6,5 г",35 г
Шоколад Молочный с Яблоком [Яшкино],500 кКал,62 г,5 г,26 г
Шоколадный Батончик [Яшкино],447 кКал,73 г,"2,6 г","16,5 г"
Шоколадный Батончик Импульс [Яшкино],485 кКал,"59,2 г","7,2 г","24,3 г"
Шоколадный Батончик с Грушевой Начинкой [Яшкино],420 кКал,64 г,3 г,17 г
Щербет с Изюмом и Арахисом [Яшкино],480 кКал,75 г,6 г,9 г
Ярче Семечки в Мягкой Карамели [Яшкино],497 кКал,"51,2 г","9,6 г","30,5 г"
Яшкинская Картошка [Яшкино],537 кКал,"56,7 г","6,3 г","31,7 г"
