Продукт,Калорийность,Углеводы,Белки,Жиры
Мороженое [Ростик'c - KFC],168 кКал,"26,5 г","4,7 г","4,8 г"
Мороженое Kit Kat [Ростик'c - KFC],196 кКал,"32,7 г","3,2 г","5,8 г"
Мороженое Айс Дрим Клубника [Ростик'c - KFC],173 кКал,32 г,"3,6 г","3,4 г"
Мороженое Айс Дрим Шоколад [Ростик'c - KFC],272 кКал,"49,4 г","6,2 г","5,6 г"
Мороженое Айсдрим Клубника [Ростик'c - KFC],252 кКал,"46,2 г","5,5 г","5,1 г"
Мороженое Банан-Брауни [Ростик'c - KFC],178 кКал,"31,6 г","2,8 г","4,5 г"
Мороженое в Рожке [Ростик'c - KFC],131 кКал,"21,5 г","3,7 г","3,3 г"
Мороженое Карамельное [Ростик'c - KFC],158 кКал,"29,4 г","2,8 г","3,2 г"
Мороженое Клубничное [Ростик'c - KFC],163 кКал,"31,1 г","2,9 г",3 г
Мороженое Рожок [Ростик'c - KFC],151 кКал,"24,9 г","3,7 г","4,1 г"
Мороженое Сникерс [Ростик'c - KFC],186 кКал,"29,1 г","3,7 г","6,1 г"
Мороженое Шоколадное [Ростик'c - KFC],154 кКал,"28,5 г",3 г,"3,1 г"
Мохито [Ростик'c - KFC],182 кКал,"45,5 г",0 г,0 г
Наггетсы [Ростик'c - KFC],287 кКал,"19,4 г","13,8 г","17,2 г"
Напиток Черная Смородина [Ростик'c - KFC],144 кКал,"36,1 г",0 г,0 г
Ножка (3) [Ростик'c - KFC],458 кКал,"17,2 г","38,2 г","26,3 г"
Ножки Оригинальные [Ростик'c - KFC],229 кКал,"7,7 г",21 г,"12,7 г"
Овсяная Каша [Ростик'c - KFC],94 кКал,16 г,"3,3 г","1,9 г"
Острые Крылышки [Ростик'c - KFC],254 кКал,"12,5 г","13,4 г","16,8 г"
Острый Шефбургер [Ростик'c - KFC],239 кКал,"26,2 г","10,7 г","10,1 г"
Острый Шефбургер Де Люкс [Ростик'c - KFC],453 кКал,"36,9 г",25 г,"22,8 г"
Панини [Ростик'c - KFC],519 кКал,"56,8 г","24,7 г","21,3 г"
Пати Бокс [Ростик'c - KFC],240 кКал,"8,1 г","23,1 г","12,8 г"
Пати-Баскет [Ростик'c - KFC],487 кКал,"30,7 г","30,3 г","24,7 г"
Печенье Шоколадное с Белым Шоколадом и Фундуком [Ростик'c - KFC],469 кКал,"63,7 г","7,1 г","20,6 г"
Пирожное Черный Лес [Ростик'c - KFC],478 кКал,"73,6 г","2,7 г","19,2 г"
Пирожок Малина-Черника [Ростик'c - KFC],308 кКал,"26,8 г","3,6 г","20,8 г"
